episode,char1,char2,count
M._Night_Shaym-Aliens!.txt,kevin,mailmen,1
M._Night_Shaym-Aliens!.txt,kevin,morty,1
M._Night_Shaym-Aliens!.txt,kevin,rick,1
M._Night_Shaym-Aliens!.txt,mailman,mailmen,1
M._Night_Shaym-Aliens!.txt,mailman,morty,1
M._Night_Shaym-Aliens!.txt,mailman,prince nebulon,1
M._Night_Shaym-Aliens!.txt,mailman,rick,1
M._Night_Shaym-Aliens!.txt,mailman,zigerion 1,1
M._Night_Shaym-Aliens!.txt,mailmen,morty,1
M._Night_Shaym-Aliens!.txt,mailmen,prince nebulon,1
M._Night_Shaym-Aliens!.txt,mailmen,rick,1
M._Night_Shaym-Aliens!.txt,mailmen,zigerion 1,1
M._Night_Shaym-Aliens!.txt,morty,zigerion 1,1
M._Night_Shaym-Aliens!.txt,rick,zigerion 1,1
Meeseeks_and_Destroy.txt,beth,"jerry, beth, and summer",1
Meeseeks_and_Destroy.txt,beth,morty,2
Meeseeks_and_Destroy.txt,beth,rick,2
Meeseeks_and_Destroy.txt,"jerry, beth, and summer",morty,1
Meeseeks_and_Destroy.txt,"jerry, beth, and summer",rick,1
Meeseeks_and_Destroy.txt,morty,rick,2
Meeseeks_and_Destroy.txt,all meeseeks,all other meeseeks,1
Meeseeks_and_Destroy.txt,all meeseeks,all the meeseeks,1
Meeseeks_and_Destroy.txt,all meeseeks,beth,1
Meeseeks_and_Destroy.txt,all meeseeks,card player,1
Meeseeks_and_Destroy.txt,all meeseeks,detective,1
Meeseeks_and_Destroy.txt,all meeseeks,giant,1
Meeseeks_and_Destroy.txt,all meeseeks,giant lawyer,1
Meeseeks_and_Destroy.txt,all meeseeks,giant woman,1
Meeseeks_and_Destroy.txt,all meeseeks,jerry,1
Meeseeks_and_Destroy.txt,all meeseeks,judge,1
Meeseeks_and_Destroy.txt,all meeseeks,meeseeks,1
Meeseeks_and_Destroy.txt,all meeseeks,meeseeks *,1
Meeseeks_and_Destroy.txt,all meeseeks,meeseeks 1,1
Meeseeks_and_Destroy.txt,all meeseeks,meeseeks 2,1
Meeseeks_and_Destroy.txt,all meeseeks,meeseeks 3,1
Meeseeks_and_Destroy.txt,all meeseeks,meeseeks 4,1
